NM_001007571.2,D8Ertd738e,mRNA
NM_001007572.2,Trpv5,mRNA
NM_001007573.3,Maneal,mRNA
NM_001007575.2,Zfp58,mRNA
NM_001007576.2,Gucy2f,mRNA
NM_001007577.2,Tceanc,mRNA
NM_001007578.2,Armcx6,mRNA
NM_001007579.3,Pramel20,mRNA
NM_001007580.1,Fndc3c1,mRNA
NM_001007581.1,Trp53rka,mRNA
NM_001007582.3,Defa39,mRNA
NM_001007583.1,Best3,mRNA
NM_001007584.2,Gm11541,mRNA
NM_001007589.3,Akirin2,mRNA
NM_001007596.2,Rtn1,mRNA
NM_001008230.3,Rtp2,mRNA
NM_001008231.2,Daam2,mRNA
NM_001008232.2,Asap3,mRNA
NM_001008233.3,Plekhn1,mRNA
NM_001008238.3,Bnip2,mRNA
NM_001008419.2,Aox2,mRNA
NM_001008420.2,Cdh12,mRNA
NM_001008421.1,Nol10,mRNA
NM_001008422.1,Scaf1,mRNA
NM_001008423.2,Ccdc177,mRNA
NM_001008424.2,Cdsn,mRNA
NM_001008425.2,Thoc6,mRNA
NM_001008426.3,Teddm1b,mRNA
NM_001008427.1,Zfp975,mRNA
NM_001008428.3,Fbxw20,mRNA
NM_001008429.1,Taar3,mRNA
NM_001008497.2,P2ry14,mRNA
NM_001008498.2,Wdr34,mRNA
NM_001008499.1,Taar4,mRNA
NM_001008501.2,Zfp760,mRNA
NM_001008502.2,Bbs12,mRNA
NM_001008506.2,Zc3h14,mRNA
NM_001008533.3,Adora1,mRNA
NM_001008542.3,Mxi1,mRNA
NM_001008543.3,Mxi1,mRNA
NM_001008545.2,Tardbp,mRNA
NM_001008546.2,Tardbp,mRNA
NM_001008547.1,1700001J03Rik,mRNA
NM_001008548.4,Pde2a,mRNA
NM_001008549.2,Zfp658,mRNA
NM_001008550.1,Zfyve26,mRNA
NM_001008700.4,Il4ra,mRNA
NM_001008702.2,Dab2,mRNA
NM_001008705.2,Bud31,mRNA
NM_001008706.2,Calm5,mRNA
NM_001008785.5,Kbtbd8,mRNA
NM_001008791.2,Whrn,mRNA
NM_001008792.2,Whrn,mRNA
NM_001008793.2,Whrn,mRNA
NM_001008973.2,Tmem232,mRNA
NM_001009545.1,Adam6b,mRNA
NM_001009546.2,Naaladl1,mRNA
NM_001009547.2,Adam26b,mRNA
NM_001009548.2,Adam20,mRNA
NM_001009549.2,Zfp36l3,mRNA
NM_001009550.2,Mup21,mRNA
NM_001009573.2,Unc13d,mRNA
NM_001009574.1,Taar5,mRNA
NM_001009575.5,Armcx5,mRNA
NM_001009818.2,Septin11,mRNA
NM_001009819.2,A3galt2,mRNA
NM_001009927.2,Mief2,mRNA
NM_001009929.3,Brsk2,mRNA
NM_001009930.3,Brsk2,mRNA
NM_001009935.2,Txnip,mRNA
NM_001009940.2,Il19,mRNA
